created_at,trend,adjusted_close
2018-01-05,0.553,9.29
2018-01-06,0.224,9.83
2018-01-07,0.118,10.16
2018-01-08,0.303,9.6
2018-01-09,0.145,9.23
2018-01-10,0.434,11.2
2018-01-11,0.329,11.27
2018-01-12,0.421,13.8
2018-01-13,0.461,16.0
2018-01-14,0.289,13.23
2018-01-15,0.5,12.78
2018-01-16,0.303,10.0
2018-01-17,0.329,10.15
2018-01-18,0.421,10.18
2018-01-19,0.224,11.07
2018-01-20,0.421,15.53
2018-01-21,0.145,13.47
2018-01-22,0.539,13.38
2018-01-23,0.276,12.88
2018-01-24,0.684,13.9
2018-01-25,0.487,14.25
2018-01-26,0.316,14.24
2018-01-27,0.145,14.38
2018-01-28,0.355,14.75
2018-01-29,0.421,14.2
